date,frequency
9/09/2012,5
10/09/2012,7
11/09/2012,2
12/09/2012,2
13/09/2012,13
14/09/2012,5
15/09/2012,3
16/09/2012,3
17/09/2012,16
18/09/2012,10
19/09/2012,10
20/09/2012,8
21/09/2012,13
22/09/2012,4
23/09/2012,2
24/09/2012,7
25/09/2012,8
26/09/2012,18
27/09/2012,14
28/09/2012,16
29/09/2012,7
30/09/2012,18
1/10/2012,14
2/10/2012,10
3/10/2012,27
4/10/2012,19
5/10/2012,11
6/10/2012,4
7/10/2012,7
8/10/2012,12
9/10/2012,20
10/10/2012,8
11/10/2012,36
12/10/2012,6
13/10/2012,3
14/10/2012,6
15/10/2012,13
16/10/2012,46
17/10/2012,25
18/10/2012,17
19/10/2012,21
20/10/2012,1
21/10/2012,4
22/10/2012,40
23/10/2012,25
24/10/2012,38
25/10/2012,47
26/10/2012,6
27/10/2012,9
28/10/2012,7
29/10/2012,8
30/10/2012,4
31/10/2012,5
1/11/2012,32
2/11/2012,20
3/11/2012,19
4/11/2012,34
5/11/2012,49
6/11/2012,35
7/11/2012,2
8/11/2012,2
9/11/2012,1
10/11/2012,0
11/11/2012,1
12/11/2012,0
13/11/2012,0
14/11/2012,4
15/11/2012,3
16/11/2012,0
17/11/2012,1
18/11/2012,1
19/11/2012,0
20/11/2012,1
21/11/2012,3
22/11/2012,2
23/11/2012,0
24/11/2012,1
25/11/2012,0
26/11/2012,1
27/11/2012,1
28/11/2012,5
29/11/2012,1
30/11/2012,7
1/12/2012,2
2/12/2012,1
3/12/2012,3
4/12/2012,3
5/12/2012,2
6/12/2012,1
7/12/2012,2
8/12/2012,2
9/12/2012,0
10/12/2012,14
11/12/2012,2
12/12/2012,1
13/12/2012,2
14/12/2012,0
15/12/2012,0
16/12/2012,0
17/12/2012,1
18/12/2012,1
19/12/2012,6
20/12/2012,2
21/12/2012,5
22/12/2012,3
23/12/2012,2
24/12/2012,0
25/12/2012,1
26/12/2012,2
27/12/2012,1
28/12/2012,9
29/12/2012,2
30/12/2012,1
31/12/2012,2
1/01/2013,5
2/01/2013,0
3/01/2013,0
4/01/2013,2
5/01/2013,2
6/01/2013,1
7/01/2013,1
8/01/2013,1
9/01/2013,0
10/01/2013,0
11/01/2013,0
12/01/2013,2
13/01/2013,1
14/01/2013,0
15/01/2013,0
16/01/2013,13
17/01/2013,3
18/01/2013,1
19/01/2013,2
20/01/2013,2
21/01/2013,28
22/01/2013,2
23/01/2013,0
24/01/2013,1
25/01/2013,1
26/01/2013,0
27/01/2013,1
28/01/2013,0
29/01/2013,5
30/01/2013,2
31/01/2013,1
1/02/2013,2
2/02/2013,1
3/02/2013,1
4/02/2013,6
5/02/2013,1
6/02/2013,1
7/02/2013,3
8/02/2013,2
9/02/2013,0
10/02/2013,0
11/02/2013,3
12/02/2013,28
13/02/2013,5
14/02/2013,5
15/02/2013,11
16/02/2013,0
17/02/2013,1
18/02/2013,1
19/02/2013,3
20/02/2013,5
21/02/2013,4
22/02/2013,5
23/02/2013,0
24/02/2013,1
25/02/2013,5
26/02/2013,4
27/02/2013,3
28/02/2013,3
1/03/2013,4
2/03/2013,1
3/03/2013,2
4/03/2013,5
5/03/2013,3
6/03/2013,5
7/03/2013,3
8/03/2013,3
9/03/2013,1
10/03/2013,2
11/03/2013,9
12/03/2013,3
13/03/2013,1
14/03/2013,4
15/03/2013,4
16/03/2013,1
17/03/2013,1
18/03/2013,2
19/03/2013,7
20/03/2013,3
21/03/2013,3
22/03/2013,4
23/03/2013,2
24/03/2013,0
25/03/2013,6
26/03/2013,4
27/03/2013,2
28/03/2013,11
29/03/2013,2
30/03/2013,1
31/03/2013,2
1/04/2013,4
2/04/2013,3
3/04/2013,11
4/04/2013,4
5/04/2013,2
6/04/2013,0
7/04/2013,0
8/04/2013,7
9/04/2013,2
10/04/2013,1
11/04/2013,2
12/04/2013,1
13/04/2013,0
14/04/2013,1
15/04/2013,3
